,Clouds,Precipitation,Winds/ Storms,"Atmospheric Gases, PIP, CO2, CH4, PM",Freshwater (liquid/solid),Allocthonous organic carbon inputs,Allocthonous nutrient inputs,Allocthonous sediment inputs,Sea ice (extent/ thickness),Stratification,Light,Temperature,pH,Nutrients,Primary Producers,Respiration,Higher Trophic Levels,Development,Tourism,Arctic policy and management,Resource extraction (Fishing),Pollution
Clouds,0,1,0,0.4,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0
Precipitation,1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0
Winds/ Storm mixing,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atmospheric Gases, PIP, CO2, CH4, PM",0,0,0,0,0.19,0,0,0,0.81,0,0,1,-0.4,0,-2,2,0,0,1,0,0,0
Freshwater (liquid/solid),0,2,0,0,0,0,0,0,-1,0,0,3,0,0,0,0,0,-1,0,0,0,0
Allocthonous organic carbon inputs,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allocthonous nutrient inputs,0,0,0,0,-1.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allocthonous sediment inputs,0,0,0,0,1,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea ice (extent/ thickness),0,-1,-1,0,1.1,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0
Stratification,0,1,2,0,3,0,0,0,1.1,0,0,2,0,0,0,0,0,0,0,0,0,0
Light,-1,0,-1,0,-1,0,0,-1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Temperature,1.1,0,-1,3,1,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0
pH,0,1,0,-2,2.01,0,0.19,0,0.81,0.81,0,-2,0,0,2,-2,0,0,0,0,0,-0.4
Nutrients,0,-1,0,0,0.81,0,1,0,0,-2,0,0,0,0,-3,0,0,0,0,0,0,0
Primary Producers,0,0,0,0,-1,0.19,0.4,0,0,0,2.5,1.5,-1.5,2.5,0,0,-1,0,0,0,0,-1.5
Respiration,0,0,0,0,0,1.5,0.19,0,0,0,0,2,0.19,0.4,3,0,1,0,0,0,0,0.19
Higher Trophic Levels,0,0,0,0,0.19,0.19,0.19,0.19,0.81,0,0,2.01,1,0,3,0,0,-1.5,0,0,-2,-1.5
Development,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,2.02,0,0
Tourism,-1,-1,-1,0,0,0,0,0,-2,0,0,0,0,0,0,0,1,0.81,0,0.19,0,-1
Arctic policy and management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,1
Resource extraction (Fishing),0,0,0,0,0,0.19,0,0.19,-2,0,0,0,0,0,0,0,3,0.81,0,2.02,0,-1
Pollution,0.19,1,1,1,0.4,0.4,0,0.4,0,0,0,0,0,0,0,0,0,1,0,0.81,1,0
